X_TLS,Y_TLS,Z_Plane,Dispersion_Index,Mean_Amplitude
2618148.267937666,1095191.4012273739,2213.024,0.24695051691737735,23469.76290797679
2618147.6825920218,1095190.7582393438,2213.024,0.19037703083874413,34088.69467481507
2618147.1020632777,1095190.1104343918,2213.024,0.16978681509512805,41487.636746889286
2618146.5263576284,1095189.457806318,2213.024,0.16621887651060213,43089.241436350705
2618145.9554821723,1095188.8003480225,2213.024,0.1775944970768266,38233.391011318854
2618145.3894449137,1095188.1380514952,2213.024,0.21610526500945001,28493.02959744162
2618147.9030465195,1095191.736025714,2213.024,0.16939193515266354,33211.95291853074
2618147.3150935452,1095191.090173595,2213.024,0.12875667106548813,47555.11154308327
2618146.731978927,1095190.4394830973,2213.024,0.1139851129961065,57321.173945450515
2618146.1537088873,1095189.7839479945,2213.024,0.11201469764110193,59131.92522650682
2618145.580290556,1095189.123561154,2213.024,0.12149800196087542,52166.39075359773
2618145.011731974,1095188.4583145308,2213.024,0.15145854880211002,38576.99173692745
2618144.4480421017,1095187.7881991607,2213.024,0.23700471948932178,22618.05527814829
2618148.1335701426,1095192.7146857788,2213.024,0.16487489000437938,33302.63791360202
2618147.538155373,1095192.0708240543,2213.024,0.12070170566539666,48297.12916562675
2618146.9475950687,1095191.4221078458,2213.024,0.10567372045846378,57999.65104169754
2618146.3618945763,1095190.7685318028,2213.024,0.10485854997370021,59579.53794684597
2618145.781060146,1095190.1100896706,2213.024,0.11608533683689742,52735.29528737894
2618145.2050989396,1095189.4467742853,2213.024,0.1466595820632305,39775.73381601176
2618144.6340190335,1095188.7785775664,2213.024,0.22369856815373299,24663.599879783047
2618151.461775359,1095196.8303464472,2213.024,0.23788643463755876,19577.195035317272
2618150.8345389045,1095196.2128350306,2213.024,0.21232132838981557,22319.460533121975
2618150.2121649696,1095195.5904610958,2213.024,0.2391738404455096,21057.68140601662
2618148.374222721,1095193.6941597115,2213.024,0.16990367513182886,38333.7964396298
2618147.771307759,1095193.0523267756,2213.024,0.14416200380954494,68856.8709753032
2618147.173264227,1095192.4056223945,2213.024,0.14576986072215437,94485.705994922
2618146.580096592,1095191.7540420967,2213.024,0.15297668686486005,107603.01758014681
2618145.9918102254,1095191.0975805083,2213.024,0.16323135925334678,104404.76903954762
2618145.408411405,1095190.4362313468,2213.024,0.17836016245460765,86411.74692808963
2618144.8299073237,1095189.769987417,2213.024,0.20566826241164188,59720.64336189245
