X_Local,Y_Local,Z_Local,Mean_Amplitude
8.764170701684403,5.123428657699532,0.0,5042.548867467329
8.684843908032763,5.256776159577876,0.0,5100.947074766694
8.605518685737882,5.3856529268247755,0.0,5039.789014940213
8.526194804579104,5.510373077493791,0.0,4898.158408103433
8.44687207719773,5.6312131384149735,0.0,4738.91302349323
8.367550349564084,5.748418082073544,0.0,4654.361139967015
8.288229493880776,5.862206167951188,0.0,4724.943838782259
8.20890940322538,5.972772865967535,0.0,4981.63769803431
8.129589987454647,6.0802940664639955,0.0,5327.01688895517
8.050271170036691,6.1849287293934285,0.0,5636.663297697903
7.970952885574817,6.286821088176967,0.0,5875.9626685871835
7.891635077852943,6.386102496578103,0.0,5969.927517167269
7.812317698278793,6.482892986927985,0.0,5938.0804915653825
7.733000704633508,6.577302593080068,0.0,5842.488497014553
7.653684060059536,6.669432480173309,0.0,5697.951510861217
7.574367732235467,6.7593759146588575,0.0,5553.618810773562
7.495051692698715,6.847219101399797,0.0,5456.0993992074345
7.4157359162860415,6.933041909487158,0.0,5355.2351009313215
7.336420380668675,7.016918504365674,0.0,5233.075032644707
7.257105065963875,7.098917900663563,0.0,5033.172499186855
7.177789954408668,7.179104447574929,0.0,4857.815773128782
7.098475030084442,7.257538256603805,0.0,5026.122116709895
7.019160278683389,7.334275579834278,0.0,6061.041458791036
6.939845687309553,7.409369145556935,0.0,7971.742754963595
6.860531244308661,7.482868456993265,0.0,10381.78481359362
6.781216939121965,7.554820058966688,0.0,12651.158370223437
6.701902762160265,7.62526777663242,0.0,14215.211137983943
6.622588704694909,7.694252929768265,0.0,14690.394450042435
6.543274758763178,7.761814525620461,0.0,13914.634330761712
6.463960917085871,7.8279894328739665,0.0,12001.621850142741
6.384647172995313,7.892812538959928,0.0,9368.960361250436
6.305333520372254,7.956316892612446,0.0,6824.158386354546
6.226019953590439,8.01853383333224,0.0,5376.522763204989
6.14670646746774,8.079493109198769,0.0,5189.383343781826
6.067393057223004,8.13922298428801,0.0,5385.851505169256
5.988079718437814,8.197750336795687,0.0,5340.113970214078
5.908766447022548,8.255100748830426,0.0,5121.402416266925
5.829453239186168,8.311298588724991,0.0,4991.3897535923925
5.750140091409283,8.366367086613387,0.0,5019.2665847562275
5.670827000420065,8.420328403934544,0.0,5080.350992361478
5.5915139631726785,8.473203697447918,0.0,5131.5969754438975
5.5122009768279225,8.525013178280572,0.0,5137.459296259846
5.432888038735823,8.575776166468044,0.0,5101.105942421853
5.3535751464199475,8.625511141401114,0.0,5085.946792122238
5.27426229756326,8.67423578854661,0.0,5106.9932817319595
5.1949494899953175,8.721967042771803,0.0,5154.725422904704
5.115636721680688,8.768721128567847,0.0,5159.605573084013
5.036323990708432,8.81451359743774,0.0,5128.117417609533
4.9570112952825625,8.859359362687643,0.0,5053.239003294088
4.87769863371335,8.90327273183693,0.0,4972.029403443085
4.798386004409404,8.946267436841358,0.0,4953.731542031424
4.719073405870449,8.988356662305206,0.0,5121.149917645433
4.639760836680721,9.029553071841592,0.0,5514.160636020083
4.560448295502923,9.069868832725454,0.0,5961.7896867106665
4.481135781072689,9.10931563897037,0.0,6143.93090124321
4.401823292193503,9.14790473294857,0.0,5958.285113535312
4.322510827732029,9.185646925662857,0.0,5522.613448536247
4.2431983866138205,9.222552615769562,0.0,5073.979563658239
4.163885967819365,9.258631807443102,0.0,4809.8776065594475
4.0845735703804396,9.293894127164872,0.0,4748.3070360892125
4.0052611933767475,9.328348839512296,0.0,4813.7857001838465
3.9259488359328003,9.36200486201743,0.0,5018.870797904718
