X_Local,Y_Local,Z_Local,Dispersion
-12.638748224296691,12.921958359318971,0.0,0.22127137376009953
-12.7799674798008,12.782307918852922,0.0,0.2141369623451582
-12.921187068667388,12.639536749961955,0.0,0.23530792241266338
-19.564089717062,20.002483487712926,0.0,0.23627787826083457
-19.782689386540966,19.786312257950414,0.0,0.24324221235004573
-20.03028664892577,20.929518118063676,0.0,0.2016460149650001
-20.256623866338533,20.710536000552324,0.0,0.18860935163551065
-20.482961577214983,20.486712691860166,0.0,0.203998630820364
-20.83309767255199,20.836912908815037,0.0,0.2348446468431628
-21.06330494755369,20.604176345828392,0.0,0.2412803032774833
-4.777096713185545,111.07253804339666,0.0,0.24695051691737735
-5.645659783635176,111.03177872130289,0.0,0.19037703083874413
-6.51422286999705,110.98420725855068,0.0,0.16978681509512805
-7.382785974771718,110.92981489058583,0.0,0.16621887651060213
-8.251349100482502,110.86859157773627,0.0,0.1775944970768266
-9.119912249678709,110.80052599589537,0.0,0.21610526500945001
-4.79837554041577,111.56729322399086,0.0,0.16939193515266354
-5.670807488684776,111.52635234589667,0.0,0.12875667106548813
-6.543239452936903,111.4785689835331,0.0,0.1139851129961065
-7.415671435683842,111.4239343333056,0.0,0.11201469764110193
-8.288103439460153,111.36243831082196,0.0,0.12149800196087542
-9.160535466826499,111.29406954153411,0.0,0.15145854880211002
-10.032967520372935,111.2188153501464,0.0,0.23700471948932178
-3.9433535551085757,112.09630557513725,0.0,0.16487489000437938
-4.819654367645995,112.06204840458506,0.0,0.12070170566539666
-5.695955193734376,112.02092597049045,0.0,0.10567372045846378
-6.572256035876756,111.9729307085155,0.0,0.10485854997370021
-7.448556896595965,111.91805377602536,0.0,0.11608533683689742
-8.324857778437805,111.85628504390765,0.0,0.1466595820632305
-9.201158683974288,111.78761308717284,0.0,0.22369856815373299
1.3202544904446172,112.6531206651211,0.0,0.23788643463755876
0.44008482973826973,112.65999730539899,0.0,0.21232132838981557
-0.44008482973826973,112.65999730539899,0.0,0.2391738404455096
-3.0805938253957166,112.6187311649035,0.0,0.16990367513182886
-3.9607635045792535,112.59121200151753,0.0,0.14416200380954494
-4.84093319487622,112.55680358517924,0.0,0.14576986072215437
-5.721102898783975,112.51549959508422,0.0,0.15297668686486005
-6.601272618816609,112.4672924334979,0.0,0.16323135925334678
-7.4814423575080875,112.41217321874511,0.0,0.17836016245460765
-8.361612117415454,112.35013177699332,0.0,0.20566826241164188
